"file_id"	"cases.samples.submitter_id"
"db99181c-131e-4836-9599-9878c5b14536"	"TCGA-22-4604-01A"
"2b72eae5-edef-4970-9cfa-9de2c9bfd882"	"TCGA-21-5784-01A"
"3b6ed54b-ba64-48fc-bd32-23ab28307cb3"	"TCGA-39-5028-01A"
"c7ec782a-e71b-4476-8d84-08a962dd3154"	"TCGA-22-5489-01A"
"72752a03-d966-46b7-85fd-a3603c66e665"	"TCGA-HU-A4H5-01A"
"49e36c84-a818-4b66-b99a-0c2c433ce89d"	"TCGA-CG-4460-01A"
"8accf593-2f57-4248-8958-371c01500f9d"	"TCGA-BR-6453-11A"
"5b89579d-19e9-4b4e-aba4-08eb4a636316"	"TCGA-CG-4444-01A"
"45da69eb-ddb4-4390-86d1-22bac6ff958a"	"TCGA-CD-A486-01A"
"af5149b9-7972-4d2f-8ea5-e9f00033bbad"	"TCGA-D7-A6F2-01A"
"c599e0fd-6d16-4c63-b1c0-e35686fcca58"	"TCGA-VQ-A8P3-01A"
"c15022d7-c95d-4250-ab0a-87544bece8e0"	"TCGA-BR-8369-01A"
"f643ce8b-bf15-44fb-8eea-b63af0c70a25"	"TCGA-BR-8682-01A"
"dd788888-039a-49c1-860e-15f2ac39f7d6"	"TCGA-VQ-A8P8-01A"
"c913597e-93b3-417e-8120-b82a1f8830c6"	"TCGA-L5-A4OS-01A"
"e4a386ee-3f6c-432b-957b-885ad5238cec"	"TCGA-LN-A9FP-01A"
"ec7ff82c-3ea6-4b95-ab5a-314f191fb9bb"	"TCGA-LN-A4A8-01A"
"8766df3d-3455-4726-a9b0-5df478891803"	"TCGA-JY-A939-01A"
"854a7352-0333-4aa5-92f9-6f155ed5a5a7"	"TCGA-EI-6507-01A"
"dc31eaaf-07a3-4d42-abfa-7ce9937903a7"	"TCGA-CL-4957-01A"
"eadc349d-eeef-4d5f-95de-3d3ea102fc2e"	"TCGA-F5-6861-01A"
"af9e4765-462e-4fa3-819c-f890456647ba"	"TCGA-FB-AAPQ-01A"
"7b3c1846-f755-4fd3-aaed-c810237d7552"	"TCGA-XU-A92V-01A"
"5da8f30b-b299-4808-b41f-29be0c609716"	"TCGA-ZB-A961-01A"
"ced07be6-d448-4e54-86b4-772ef59a9382"	"TCGA-X7-A8D8-01A"
"f72474bc-3d77-4c0b-b202-45d4e3fd0e67"	"TCGA-3Q-A9WF-01A"
"f37f7b1c-e3db-4283-a2e5-fd14c2ba2f7b"	"TCGA-X7-A8M3-01A"
"f01b1851-4e36-49f5-b276-6e9ee7494543"	"TCGA-ZL-A9V6-01A"
"c3ba6d7b-677c-4176-afb2-4bd87b76b258"	"TCGA-4V-A9QR-01A"
"4a93e019-693a-47d5-bfd3-4ef66c7237b2"	"TCGA-XU-A92Q-01A"
"e458d1a3-b02b-4e62-a25d-de9eb9d58571"	"TCGA-X7-A8M5-01A"
"0bbfc2d9-b1aa-4098-844f-24d40a2ebd0c"	"TCGA-ZF-A9RD-01A"
"f2a8a76a-06fb-42ef-aaa2-3aa4caafa94b"	"TCGA-PQ-A6FI-01A"
"64c5ac07-4bb9-4844-85d4-4fa88ca91a0f"	"TCGA-GV-A6ZA-01A"
"056dd38c-1421-4d64-a047-a421deba88bc"	"TCGA-CF-A47W-01A"
"d1e95ed7-adaa-41cf-b488-916624e8aaa1"	"TCGA-GC-A3BM-11A"
"62809aca-c5ac-47f1-bfed-b82d811a797d"	"TCGA-HV-A7OL-01A"
"e8ae7104-605a-4bd3-b58d-b85da7f4fcc3"	"TCGA-3A-A9IB-01A"
"9e66e111-9a5a-4cae-835e-f0c27617af48"	"TCGA-2L-AAQE-01A"
"f2347995-1b95-49de-a3a1-200f2fa88d66"	"TCGA-IB-A5SP-01A"
"c640cec0-1656-4ca2-92a0-afca1cf3f86c"	"TCGA-HZ-8636-01A"
"e2980ddf-055d-4c46-a1cb-831ca958f354"	"TCGA-W5-AA2U-01A"
"72fe22ad-c90b-465c-aab6-20171dc4c315"	"TCGA-W5-AA2G-01A"
"5baedce8-0a05-44f8-9619-34a44576480f"	"TCGA-ZH-A8Y1-01A"
"76d98d7f-5764-4d76-8726-6ab20526dacb"	"TCGA-4G-AAZT-01A"
"8d9bbc3f-f869-4ff9-ab9f-d88493e6bce3"	"TCGA-FA-A4BB-01A"
"6cd44966-a140-43eb-8f2e-de6e35a92fec"	"TCGA-FF-8042-01A"
"7dd16282-a932-485e-b102-27b46f2d25f2"	"TCGA-K4-A6MB-01A"
"f165bde0-0bb8-4577-bcaa-d28649f09b29"	"TCGA-CE-A481-01A"
"7aacca5c-df8b-4eff-a2a7-0788af5ddc66"	"TCGA-DJ-A2PY-01A"
"1d59da34-0577-4b9c-9653-174f44e7b1c4"	"TCGA-BJ-A45K-01A"
"dd07f4ee-6dc2-4ae7-bc0f-6e5c98abdf0f"	"TCGA-KQ-A41R-01A"
"98365b75-4c5e-4484-94e1-44dd6554ee8d"	"TCGA-CU-A0YN-11A"
"cfa4a7dc-0d7e-458c-b5b1-479368ed3bf9"	"TCGA-GV-A3JX-01A"
"f7eef3a7-b87c-46e5-be97-cdb5207f0dde"	"TCGA-DK-A1AG-01A"
"3d9d6db1-e143-4f2b-9e16-e06b578e673b"	"TCGA-BT-A2LB-11A"
"39cc450c-95fd-41de-99fa-f28a73f4a992"	"TCGA-E7-A8O8-01A"
"4153b44e-8504-4484-9625-d026688f1ac7"	"TCGA-FT-A3EE-01A"
"4e18ff4c-d93e-4289-91a1-e7618a171a92"	"TCGA-BT-A20Q-01A"
"ae1bba47-597c-4396-9098-f05ec1956b6c"	"TCGA-DK-AA77-01A"
"65ddbd44-d89b-4612-8f75-cecaa115bcad"	"TCGA-GU-A763-01A"
"25eb63fe-641a-4f3a-b383-da9b0b352f69"	"TCGA-GS-A9U4-01A"
"f3308709-38d5-4d23-ac3e-8cef6af2c367"	"TCGA-G8-6914-01A"
"81dd8cf7-4701-4641-bb27-4bff09ed0368"	"TCGA-FF-A7CR-01A"
"398a78ca-2512-477e-8b44-18286b092453"	"TCGA-G8-6325-01A"
"992d7350-2b8b-4afe-bcce-39985f18023d"	"TCGA-G8-6324-01A"
"46413636-026a-4317-a887-4790a03c1e2f"	"TCGA-GS-A9TZ-01A"
"328f103a-1637-48e9-adbf-88b33ee0c245"	"TCGA-IB-AAUV-01A"
"730b5cf0-c94a-428a-b0d5-198784ef2b10"	"TCGA-3A-A9IU-01A"
"91b77a44-a12f-46c8-b2c7-575efc7d6493"	"TCGA-OR-A5LM-01A"
"6417f604-11ee-4817-8a90-433104b5f5b9"	"TCGA-OR-A5K8-01A"
"0f919899-cfad-471f-8994-68e6ac2ee487"	"TCGA-OR-A5LN-01A"
"1bb90ac0-ed32-4ee7-bc98-4ad5664b0327"	"TCGA-OR-A5K5-01A"
"44de37f5-b970-47ce-9cb4-bc55501efd3d"	"TCGA-OR-A5K6-01A"
"045bec92-26d3-48c9-a2ab-90d7a7d5a039"	"TCGA-OR-A5K3-01A"
"64b8f92e-159e-47b6-a4ed-c231f0102eb1"	"TCGA-OR-A5LE-01A"
"4f84ff3b-17b3-4fa3-94d0-69d51bc154d2"	"TCGA-OR-A5JJ-01A"
"534d3adf-9082-414d-9bc2-3cd25eefc670"	"TCGA-OR-A5J2-01A"
"5995be59-2151-4ee9-b4b6-047a7bef87f0"	"TCGA-OR-A5LL-01A"
"37b837a3-7830-485b-b17f-39d8a7c3d57c"	"TCGA-PA-A5YG-01A"
"81324ad3-be88-4653-8660-1122100ee636"	"TCGA-OR-A5KU-01A"
"da685549-3cc8-4477-a5e6-0394d783d8e4"	"TCGA-OR-A5KO-01A"
"6de4db8e-9b9b-4080-9ccc-e9a92344e944"	"TCGA-OR-A5JO-01A"
"af48ab73-4e25-4cdb-85cb-41be2a756e02"	"TCGA-OR-A5LB-01A"
"cc530ddb-02c2-47aa-9f3e-a5c39af69c5c"	"TCGA-OR-A5K2-01A"
"b45a0c03-c64e-4271-9782-4f9eb5caa67d"	"TCGA-OR-A5J3-01A"
"69836bd6-8d00-46b6-bfca-d9ff1f8baff6"	"TCGA-FB-A4P6-01A"
"b55e18e0-ddad-44e5-a326-ed6bbe9255c2"	"TCGA-FB-AAQ6-01A"
"655e0216-90f1-4ead-a19b-af0236b9cc20"	"TCGA-3A-A9IN-01A"
"55e73368-3fa0-42b9-a2bc-f17b082f7ed4"	"TCGA-HZ-A49G-01A"
"8386c4d8-0373-4031-922f-af2943ce9bd9"	"TCGA-K4-A3WS-01A"
"1be1684d-7a02-41f8-b0c0-d8e3932634e5"	"TCGA-4Z-AA83-01A"
"04a9703a-0ea9-481a-960b-611294572ac0"	"TCGA-ZF-AA52-01A"
"1d818bfa-4a51-4396-98c4-6b5486ea7160"	"TCGA-DK-A6B0-01A"
"d1fde5a2-059a-461e-b5a4-e95dd88f6ffd"	"TCGA-GU-A766-01A"
"1c6828dd-5471-45db-9a87-4ee4a45262cd"	"TCGA-FD-A3SO-01A"
"6f17ff8c-9184-48da-8ed6-3a9225b1fe67"	"TCGA-E7-A677-01A"
"8d57b918-8017-418b-ad8a-7972f9b70f0e"	"TCGA-DK-A6B1-01A"
"93e93ff6-d230-4e60-a020-cacd0a284d03"	"TCGA-DK-A6B2-01A"
"16f9ff46-b641-43a2-94cf-d0c144512e86"	"TCGA-FD-A5C1-01A"
"b2dd7577-2e22-49ae-89f3-5cd2faab4e6a"	"TCGA-4Z-AA89-01A"
"dd540ba1-9709-481e-a722-b6d831efe61c"	"TCGA-G2-AA3F-01A"
"8e3ed86a-0709-45bc-b167-262223e55752"	"TCGA-CF-A9FH-01A"
"4556c433-a755-4c49-a1c2-9a31138ce2b3"	"TCGA-E5-A2PC-01A"
"7a9ca4de-f5b8-4de0-a37e-0472e4b6ccfd"	"TCGA-GC-A6I1-01A"
"2adf9fe7-7f33-4818-b1b2-f2e2a3b1a3fa"	"TCGA-ZF-AA51-01A"
"40763aa0-5405-4330-8805-e9366533fdaa"	"TCGA-ZF-A9R3-01A"
"371d1112-dfd7-4c38-9817-aba7b67e9af8"	"TCGA-DK-AA6L-01A"
"f43b5fdc-445f-45da-a546-e00f5841b36e"	"TCGA-CF-A5U8-01A"
